old_locus_tag	GO RNA-binding	Protein names	Gene Names	Gene Names (ordered locus)	small_ribosomal	large_ribosomal	ribosomal protein
sll0844	True	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	mnmA trmU sll0844	sll0844	False	False	False
slr1469	True	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)	rnpA slr1469	slr1469	False	False	False
sll0825	True	CC-adding tRNA nucleotidyltransferase (C-adding TNT) (EC 2.7.7.-) (CC-adding enzyme)	sll0825	sll0825	False	False	False
sll1812	True	Small ribosomal subunit protein uS5 (30S ribosomal protein S5)	rpsE rps5 sll1812	sll1812	True	False	True
ssl2233	True	Small ribosomal subunit protein bS20 (30S ribosomal protein S20)	rpsT rps20 ssl2233	ssl2233	True	False	True
sll1767	True	Small ribosomal subunit protein bS6 (30S ribosomal protein S6)	rpsF rps6 sll1767	sll1767	True	False	True
sll1101	True	Small ribosomal subunit protein uS10 (30S ribosomal protein S10)	rpsJ rps10 sll1101	sll1101	True	False	True
sll1097	True	Small ribosomal subunit protein uS7 (30S ribosomal protein S7)	rpsG rps7 sll1097	sll1097	True	False	True
slr1678	True	Large ribosomal subunit protein bL21 (50S ribosomal protein L21)	rplU rpl21 slr1678	slr1678	False	True	True
slr1629	True	Uncharacterized RNA pseudouridine synthase slr1629 (EC 5.4.99.-) (RNA pseudouridylate synthase) (RNA-uridine isomerase)	slr1629	slr1629	False	False	False
slr1639	True	SsrA-binding protein (Small protein B)	smpB slr1639	slr1639	False	False	False
slr0064	True	Putative RNA methyltransferase slr0064 (EC 2.1.1.-)	slr0064	slr0064	False	False	False
slr0644	True	Probable tRNA-dihydrouridine synthase 1 (EC 1.3.1.-)	dus1 slr0644	slr0644	False	False	False
ssr2754.1	True	Toxin YoeB (EC 3.1.-.-) (Endoribonuclease YoeB) (Putative mRNA interferase YoeB)	yoeB ssr2754.1	ssr2754.1	False	False	False
sll1743	True	Large ribosomal subunit protein uL11 (50S ribosomal protein L11)	rplK rpl11 sll1743	sll1743	False	True	True
ssr1399	True	Small ribosomal subunit protein bS18 (30S ribosomal protein S18)	rpsR rps18 ssr1399	ssr1399	True	False	True
sll0767	True	Large ribosomal subunit protein bL20 (50S ribosomal protein L20)	rplT rpl20 sll0767	sll0767	False	True	True
slr1592	True	Uncharacterized RNA pseudouridine synthase slr1592 (EC 5.4.99.-) (RNA pseudouridylate synthase) (RNA-uridine isomerase)	slr1592	slr1592	False	False	False
sll1806	True	Large ribosomal subunit protein uL14 (50S ribosomal protein L14)	rplN rpl14 sll1806	sll1806	False	True	True
slr1673	True	Uncharacterized tRNA/rRNA methyltransferase slr1673 (EC 2.1.1.-)	slr1673	slr1673	False	False	False
slr0955	True	Uncharacterized tRNA/rRNA methyltransferase slr0955 (EC 2.1.1.-)	slr0955	slr0955	False	False	False
slr0612	True	Uncharacterized RNA pseudouridine synthase slr0612 (EC 5.4.99.-) (RNA pseudouridylate synthase) (RNA-uridine isomerase)	slr0612	slr0612	False	False	False
sll1817	True	Small ribosomal subunit protein uS11 (30S ribosomal protein S11)	rpsK rps11 sll1817	sll1817	True	False	True
sll1813	True	Large ribosomal subunit protein uL15 (50S ribosomal protein L15)	rplO rpl15 sll1813	sll1813	False	True	True
sll1810	True	Large ribosomal subunit protein uL6 (50S ribosomal protein L6)	rplF rpl6 sll1810	sll1810	False	True	True
sll1808	True	Large ribosomal subunit protein uL5 (50S ribosomal protein L5)	rplE rpl5 sll1808	sll1808	False	True	True
sll1800	True	Large ribosomal subunit protein uL4 (50S ribosomal protein L4)	rplD rpl4 sll1800	sll1800	False	True	True
slr1984	True	Small ribosomal subunit protein bS1B (30S ribosomal protein S1 B)	rps1b slr1984	slr1984	False	False	False
sll0271	True	Transcription antitermination protein NusB (Antitermination factor NusB)	nusB sll0271	sll0271	False	False	False
sll1910	True	Acetazolamide conferring resistance protein zam	zam sll1910	sll1910	False	False	False
sll1745	True	Large ribosomal subunit protein uL10 (50S ribosomal protein L10)	rplJ rpl10 sll1745	sll1745	False	True	True
sll1744	True	Large ribosomal subunit protein uL1 (50S ribosomal protein L1)	rplA rpl1 sll1744	sll1744	False	True	True
