name;ctrl1-01;rnase1-01;ctrl2-01;rnase2-01;ctrl3-01;rnase3-01;ctrl1-02;rnase1-02;ctrl2-02;rnase2-02;ctrl3-02;rnase3-02;ctrl1-03;rnase1-03;ctrl2-03;rnase2-03;ctrl3-03;rnase3-03;ctrl1-04;rnase1-04;ctrl2-04;rnase2-04;ctrl3-04;rnase3-04;ctrl1-05;rnase1-05;ctrl2-05;rnase2-05;ctrl3-05;rnase3-05;ctrl1-06;rnase1-06;ctrl2-06;rnase2-06;ctrl3-06;rnase3-06;ctrl1-07;rnase1-07;ctrl2-07;rnase2-07;ctrl3-07;rnase3-07;ctrl1-08;rnase1-08;ctrl2-08;rnase2-08;ctrl3-08;rnase3-08;ctrl1-09;rnase1-09;ctrl2-09;rnase2-09;ctrl3-09;rnase3-09;ctrl1-10;rnase1-10;ctrl2-10;rnase2-10;ctrl3-10;rnase3-10;ctrl1-11;rnase1-11;ctrl2-11;rnase2-11;ctrl3-11;rnase3-11;ctrl1-12;rnase1-12;ctrl2-12;rnase2-12;ctrl3-12;rnase3-12;ctrl1-13;rnase1-13;ctrl2-13;rnase2-13;ctrl3-13;rnase3-13;ctrl1-14;rnase1-14;ctrl2-14;rnase2-14;ctrl3-14;rnase3-14;ctrl1-15;rnase1-15;ctrl2-15;rnase2-15;ctrl3-15;rnase3-15;ctrl1-16;rnase1-16;ctrl2-16;rnase2-16;ctrl3-16;rnase3-16;ctrl1-17;rnase1-17;ctrl2-17;rnase2-17;ctrl3-17;rnase3-17;ctrl1-18;rnase1-18;ctrl2-18;rnase2-18;ctrl3-18;rnase3-18;ctrl1-19;rnase1-19;ctrl2-19;rnase2-19;ctrl3-19;rnase3-19;ctrl1-20;rnase1-20;ctrl2-20;rnase2-20;ctrl3-20;rnase3-20;ctrl1-21;rnase1-21;ctrl2-21;rnase2-21;ctrl3-21;rnase3-21;ctrl1-22;rnase1-22;ctrl2-22;rnase2-22;ctrl3-22;rnase3-22;ctrl1-23;rnase1-23;ctrl2-23;rnase2-23;ctrl3-23;rnase3-23;ctrl1-24;rnase1-24;ctrl2-24;rnase2-24;ctrl3-24;rnase3-24;ctrl1-25;rnase1-25;ctrl2-25;rnase2-25;ctrl3-25;rnase3-25
CSN2_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3586.79;2404.36;62883.5;56546.1;2857.27;48312.9;122470.1;132704.6;100927.6;87761.4;169610.1;193148.8;1201975;1252942;464283.7;452149.8;550740.7;547229.2;1845591.48;2468850.07;1553561.91;2083996.45;1649358.27;227001.72;2795236;1779967.4;2046034;2740902.3;2512698.4;3027200.8;3546186.2;2034983.9;3689354.7;3583392;3742516.3;3554800.3;202578.5;158725.3;232978.8;276229.7;222162.9;227899.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CSN4_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;242721.5;541651.2;106422.1;257950.3;141389.4;312201.4;730162.3;835827.9;788197.1;867803.2;789807.6;71755.121;1335854.83;767396.06;1061784.78;1186416.79;1027490.71;1076566.7;279652.36;161252.86;339014.7;349251.11;261859.36;402561.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CSTF3_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;275236.6;719832.1;210455.8;537202.2;298745.4;1056185.1;1436987.1;739684.34;632806.96;920798.1;1007690.18;1069452.15;633965.6;259173.3;700407.3;518067.5;711761.2;126077.77;25745.7;13992.4;22150.1;16933.4;25635;14955.8;5409.92;2515.21;8164.09;4891.54;5945.59;3340.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CTBL1_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;485730.86;143252.32;61723.132;80312.78;59802.67;149083.362;44427.67;19589.67;387138.4;127872.9;38884.43;101001.29;618935;437244;378500;264876;1009347;608280;1364606.561;1776415.92;542861.69;1048120.29;870784.79;1391304.96;41340.9;64572.061;53468.6;120122.653;49036.1;11256.28;2101.06;6579;2472.53;6233.09;2227.84;4348.34;0;448.993;649.521;1044.73;0;2298.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CTBP2_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;6936.58;9923.78;7234.71;10548.13;14089.82;90381.7;34382.6;26032.9;46169.6;34854;33487.3;167544.3;73609;12762.51;11843.07;44027.38;16474.95;116044.1;142567.3;8905.59;11436.99;79585.5;9744.66;99938.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CTCF_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149579;46488.2;20761.6;379823;22966.4;191123;0;0;0;0;0;0;97824.28;98534.7;759432.6;1703186;114664.8;1584247;59179;163889.1;64956.48;160625.9;145380.6;394607;37272.4;299478;23149.9;304724;27928.9;312552;33054.3;322922;30679;351687;29323.3;70700.7;2402.22;8682.81;1973.11;9247.13;2289.89;8337.95;0;0;0;0;0;0;51620.5;42503.2;44664.2;104759;43477.4;80737.7;0;0;0;0;0;0;1216455.17;132233.79;1325660.75;178149.07;1459110.1;231032.452;988645.7;66038.14;844663.2;103704.02;777612.8;90639.007;994341.25;52692.05;935668.22;39391.37;934429.34;47906.95;1819135.38;26446.18;1603248.69;47278.541;1246234.69;41594.978;1311381.386;36610.35;1141708.55;51287.26;1119748.42;49036.45;716779.9;27096.672;682411.5;25401.69;694547;34440.7;154471.5;16640.018;170794.16;16377.893;185174.6;10959.713;40532.3;23889.9;45007.3;15873.7;33324;11857.3;34959.3;31275.7;35420.8;39114.8;26100.6;22929.1;34034.58;200736.1;56859.4;51065.71;43003.04;79311.3
CUL1_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134265.7;116695.3;111460.6;90999.1;156114.7;269557.6;1226112.4;621325.98;501795.57;626518.66;813493.87;619859.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CUL2_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16209.34;9972.06;383550.1;280426.2;12847.74;245245.3;45812.94;34916.79;33606.48;39780.71;76665.66;88567.18;263867.5;153327.89;122805.54;151797.26;191622.38;164178.69;89609.6;54418.4;103647.2;119496.4;108803.5;9070.96;43552.3;33458.49;38942.4;39573.2;38137.7;35770.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CUL3_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;526815.7;531488.2;416435.66;618739.02;779861.7;1231222;2655344.9;1117701.44;1146649.59;1397653.29;1768754.5;1370710.3;182067.3;113602.6;189584.9;212775.2;182811.4;23393.355;19008.4;14607.9;19684;21383.3;22099;17342.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CUL4B_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5636.5;11783.809;90355.31;150105.2;5035.13;102182.13;702590.1;623320.5;651544;462299.1;1176431.4;1499738.6;2842916.5;1742324.1;1217014.5;1579004.517;1796019.6;1597604.4;386217.48;622885.09;379254.34;544914.53;384754.64;47400.37;2047315.9;1411012.94;1642518.93;2086399.02;1987125.36;2084021.02;132666.6;75083.19;138102.71;126234.03;123170.02;131426.35;41000.023;34312.89;45650.461;52867.97;47914.17;50268.673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CWC22_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121971;42372.7;129128;28197.9;179905;71005.1;154681.7;83777.3;102552;78407.5;130389.1;75443.5;66761.06;84374.87;79206.25;90287.17;70706.08;34945.74;30423.4;53385.2;28637.19;62836.8;35035.6;55050.5;8181.36;7968.29;8094.62;9577.83;8711.66;11185.3;0;0;0;0;0;0;0;0;0;0;0;0;4145.11;5109.88;4143.82;6038.73;4839.53;7721.5;0;0;0;0;0;0;6020.62;3427.47;7309.31;2763.61;8163.31;3656.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DAD1_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6307.46;0;7207.58;8375.35;4447.52;8004.24;0;0;0;0;0;0;141123;106698;55209.9;46932.7;69712.1;78623.1;23313.594;22618.298;37043.32;43053.11;32532.54;3094.6;93762.6;57678.5;68364;43235.6;48655.4;48608.5;10006;5302.5;13400.6;8974.09;4961.38;11808.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DAZP1_HUMAN;0;0;0;0;0;0;0;3749.77;354.691;52345.3;0;1771.61;1275.627;31425.66;3081.117;30936.47;4618.41;169469.1;17702.909;143629.17;24329.565;184577.3;17566.704;422369.5;60737.86;52095.25;20628.22;282873.22;17831.84;583002.8;143303.264;118759.28;33014.56;359787.1;30774.33;571168.91;221009.5;69235.003;56649.557;123600;64570.189;114715.8;4259.42;431.152;49463.9;18499.7;4150.67;17625.9;26467.4;2552.47;27949.9;7894.92;39498.9;8187.29;78397.61;5398.97;37011.14;5615.54;56133.02;3755.67;124316.8;6320.99;99060.1;9336.47;108601.2;1004.4;0;0;0;0;0;0;24872.1;4010.97;34919;4910.5;29783.5;4615.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DBPA_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;2790.05;3529.19;1930.34;5037.1;4763.59;30198.3;0;0;0;0;0;0;0;0;0;0;0;0;139799;69213.1;55891.2;657219;43923.5;168038.3;409753.36;837426.7;195533.78;435624;159717.32;663381.2;108451.24;291986.61;515477.984;3477547.3;114604.36;2703153.58;343683.8;741449.6;260881.6;1401830.9;398054.9;1309457;91082.9;234214.35;50013.8;374261.11;61468.9;311356.31;22548.38;31363.15;22488.38;49403.72;23768.58;15291.45;0;0;0;0;0;0;0;0;0;0;0;0;25760.2;9522.98;24628.7;11211;29109.8;9637.57;416832.9;51985.249;583502.3;41798.926;538023.78;50233.14;1059191.45;17633.09;1112964.44;26484.701;1054360.46;28071.363;2498824.041;14733.535;1202988.952;24673.396;1411626.543;22872.066;753795.5;1015.06;711360.5;6699.03;650677.6;6672.049;788379.861;4523.13;725883.265;4968.466;636914.3;2947.566;531397.527;6728.76;491295.955;12416.061;486549.83;7431.091;379358.87;1317.89;276446.35;339.911;357311.18;3147.587;110741.67;846.197;109006.55;2603.36;106083.17;0;57844.54;3257.094;72269.5;2008.701;41080.41;810.962;115587.6;24309.98;122285.8;20507.4;74465.7;10710.304;2010.69;4133.07;2008.47;761.193;2612.12;717.271
